% Tiempo en UTC
% *Espacios sin datos estan marcados con NaN (not a number)
%año  mes dia hora min sec BV(volts) Temp DO Q
%
2025  1 15 21  0  0 2.84 9.205 10.770 1.006
2025  1 15 21  5  0 2.84 9.233 10.768 1.005
2025  1 15 21 10  0 2.84 9.251 10.764 1.006
2025  1 15 21 15  0 2.84 9.205 10.776 1.006
2025  1 15 21 20  0 2.84 9.205 10.774 1.006
2025  1 15 21 25  0 2.84 9.260 10.768 1.006
2025  1 15 21 30  0 2.84 9.214 10.764 1.004
2025  1 15 21 35  0 2.85 9.103 10.797 1.005
2025  1 15 21 40  0 2.84 8.991 10.818 1.004
2025  1 15 21 45  0 2.84 8.907 10.843 1.004
2025  1 15 21 50  0 2.84 8.823 10.887 1.005
2025  1 15 21 55  0 2.84 8.758 10.879 1.005
2025  1 15 22  0  0 2.84 8.674 10.915 1.005
2025  1 15 22  5  0 2.84 8.580 10.937 1.005
2025  1 15 22 10  0 2.84 8.496 10.967 1.005
2025  1 15 22 15  0 2.84 8.411 10.978 1.004
2025  1 15 22 20  0 2.84 8.402 10.984 1.004
2025  1 15 22 25  0 2.84 8.383 10.987 1.004
2025  1 15 22 30  0 2.84 8.393 10.999 1.005
2025  1 15 22 35  0 2.84 8.393 10.977 1.004
2025  1 15 22 40  0 2.84 8.402 10.989 1.005
2025  1 15 22 45  0 2.84 8.364 11.001 1.005
2025  1 15 22 50  0 2.84 8.374 10.982 1.004
2025  1 15 22 55  0 2.84 8.336 11.002 1.004
2025  1 15 23  0  0 2.84 8.298 11.017 1.005
2025  1 15 23  5  0 2.84 8.308 11.011 1.004
2025  1 15 23 10  0 2.84 8.280 11.033 1.005
2025  1 15 23 15  0 2.84 8.233 11.041 1.005
2025  1 15 23 20  0 2.84 8.261 11.035 1.005
2025  1 15 23 25  0 2.84 8.242 11.034 1.005
2025  1 15 23 30  0 2.84 8.251 11.026 1.004
2025  1 15 23 35  0 2.84 8.204 11.039 1.004
2025  1 15 23 40  0 2.84 8.195 11.067 1.005
2025  1 15 23 45  0 2.85 8.157 11.064 1.005
2025  1 15 23 50  0 2.85 8.148 11.083 1.005
2025  1 15 23 55  0 2.85 8.148 11.059 1.004
2025  1 16  0  0  0 2.85 8.100 11.100 1.005
2025  1 16  0  5  0 2.85 8.063 11.085 1.004
2025  1 16  0 10  0 2.85 8.015 11.092 1.004
2025  1 16  0 15  0 2.85 8.006 11.094 1.005
2025  1 16  0 20  0 2.85 8.015 11.096 1.004
2025  1 16  0 25  0 2.85 7.968 11.119 1.005
2025  1 16  0 30  0 2.85 7.940 11.137 1.005
2025  1 16  0 35  0 2.85 7.921 11.132 1.004
2025  1 16  0 40  0 2.85 7.902 11.133 1.005
2025  1 16  0 45  0 2.85 7.845 11.158 1.006
2025  1 16  0 50  0 2.85 7.778 11.169 1.006
2025  1 16  0 55  0 2.84 7.702 11.208 1.006
2025  1 16  1  0  0 2.84 7.645 11.217 1.006
2025  1 16  1  5  0 2.84 7.617 11.230 1.006
2025  1 16  1 10  0 2.84 7.559 11.233 1.006
2025  1 16  1 15  0 2.84 7.502 11.242 1.006
2025  1 16  1 20  0 2.84 7.464 11.254 1.006
2025  1 16  1 25  0 2.84 7.435 11.263 1.006
