% Tiempo en UTC
% *Espacios sin datos estan marcados con NaN (not a number)
%año  mes dia hora min sec BV(volts) Temp DO Q
%
2024  1 26  6 41  0 3.12 7.368 10.039 0.997
2024  1 26  6 51  0 3.12 7.340 10.097 0.997
2024  1 26  7  1  0 3.12 7.349 10.117 0.997
2024  1 26  7 11  0 3.12 7.301 10.093 0.997
2024  1 26  7 21  0 3.12 7.301 10.128 0.997
2024  1 26  7 31  0 3.13 7.253 10.075 0.997
2024  1 26  7 41  0 3.13 7.157 10.025 0.997
2024  1 26  7 51  0 3.13 7.186 10.026 0.997
2024  1 26  8  1  0 3.13 7.129 9.992 0.997
2024  1 26  8 11  0 3.13 7.090 10.002 0.997
2024  1 26  8 21  0 3.13 7.061 9.990 0.997
2024  1 26  8 31  0 3.13 7.032 9.992 0.997
2024  1 26  8 41  0 3.13 7.100 9.994 0.997
2024  1 26  8 51  0 3.13 7.157 10.076 0.997
2024  1 26  9  1  0 3.13 7.167 10.053 0.997
2024  1 26  9 11  0 3.13 7.081 9.957 0.997
2024  1 26  9 21  0 3.13 7.100 10.036 0.997
2024  1 26  9 31  0 3.13 7.167 10.043 0.997
2024  1 26  9 41  0 3.13 7.234 10.056 0.997
2024  1 26  9 51  0 3.12 7.244 10.117 0.998
2024  1 26 10  1  0 3.13 7.157 9.979 0.997
2024  1 26 10 11  0 3.13 7.081 9.981 0.997
2024  1 26 10 21  0 3.13 7.023 9.993 0.997
2024  1 26 10 31  0 3.13 7.042 9.989 0.997
2024  1 26 10 41  0 3.13 7.004 9.973 0.997
2024  1 26 10 51  0 3.13 7.177 9.983 0.997
2024  1 26 11  1  0 3.13 6.936 9.967 0.997
2024  1 26 11 11  0 3.13 6.975 9.954 0.997
2024  1 26 11 21  0 3.12 7.253 10.029 0.997
2024  1 26 11 31  0 3.12 7.273 10.057 0.997
2024  1 26 11 41  0 3.12 7.273 10.043 0.996
2024  1 26 11 51  0 3.12 7.388 10.092 0.997
2024  1 26 12  1  0 3.12 7.368 10.043 0.997
2024  1 26 12 11  0 3.12 7.349 10.038 0.997
2024  1 26 12 21  0 3.12 7.340 10.056 0.997
2024  1 26 12 31  0 3.12 7.349 10.017 0.997
2024  1 26 12 41  0 3.12 7.416 10.039 0.997
2024  1 26 12 51  0 3.12 7.311 9.973 0.996
2024  1 26 13  1  0 3.12 7.321 10.019 0.997
2024  1 26 13 11  0 3.12 7.292 10.010 0.997
2024  1 26 13 21  0 3.12 7.368 10.007 0.997
