	2024	1	6	00   00	0.39		52.65	6	00   30	0.40	53.48	   	6	01   00	0.39	52.65									
	2024	1	6	01   30	0.39		52.65	6	02   00	0.39	52.65	   	6	02   30	0.40	53.48									
	2024	1	6	03   00	0.39		52.65	6	03   30	0.39	52.65	   	6	04   00	0.37	50.99									
	2024	1	6	04   30	0.40		53.48	6	05   00	0.38	51.82	   	6	05   30	0.38	51.82									
	2024	1	6	06   00	0.39		52.65	6	06   30	0.39	52.65	   	6	07   00	0.38	51.82									
	2024	1	6	07   30	0.38		51.82	6	08   00	0.39	52.65	   	6	08   30	0.38	51.82									
	2024	1	6	09   00	0.39		52.65	6	09   30	0.37	50.99	   	6	10   00	0.38	51.82									
	2024	1	6	10   30	0.38		51.82	6	11   00	0.39	52.65	   	6	11   30	0.38	51.82									
	2024	1	6	12   00	0.39		52.65	6	12   30	0.39	52.65	   	6	13   00	0.38	51.82									
	2024	1	6	13   30	0.38		51.82	6	14   00	0.37	50.99	   	6	14   30	0.39	52.65									
	2024	1	6	15   00	0.37		50.99	6	15   30	0.38	51.82	   	6	16   00	0.37	50.99									
	2024	1	6	16   30	0.38		51.82	6	17   00	0.38	51.82	   	6	17   30	0.38	51.82									
	2024	1	6	18   00	0.38		51.82	6	18   30	0.38	51.82	   	6	19   00	0.40	53.48									
	2024	1	6	19   30	0.38		51.82	6	20   00	0.40	53.48	   	6	20   30	0.38	51.82									
	2024	1	6	21   00	0.40		53.48	6	21   30	0.38	51.82	   	6	22   00	0.40	53.48									
	2024	1	6	22   30	0.39		52.65	6	23   00	0.38	51.82	   	6	23   30	0.39	52.65									
	2024	1	7	00   00	0.38		51.82	7	00   30	0.40	53.48	   	7	01   00	0.38	51.82									
	2024	1	7	01   30	0.40		53.48	7	02   00	0.38	51.82	   	7	02   30	0.40	53.48									
	2024	1	7	03   00	0.38		51.82	7	03   30	0.38	51.82	   	7	04   00	0.39	52.65									
	2024	1	7	04   30	0.38		51.82	7	05   00	0.39	52.65	   	7	05   30	0.38	51.82									
